store,Sales,Profit,MTenure,CTenure,Pop,Comp,Visibility,PedCount,Res,Hours24,CrewSkill,MgrSkill,ServQual
43,1296711,337233,177.5704,5.486653,3495,3.653641,4,3,1,1,3.73,3.608233,94.7351
44,1807740,439781,182.2364,114.1519,20624,3.628561,3,4,0,1,4.06,4.172222,86.84327
45,1602362,410149,47.64565,9.166325,17808,3.472609,5,3,1,1,3.58,4.622222,100
46,1339214,315780,6.177505,5.256673,9285,3.144458,4,3,1,1,3.4,3.444445,80.52612
47,1665657,387853,12.8479,6.63655,23623,2.422707,2,5,1,1,4.23,3.95,99.80105
48,1243167,284169,31.47899,8.246407,8491,4.848749,3,2,1,1,3.42,3.872222,97.36939
49,983296,195276,55.40039,14.68583,1863,3.713871,4,1,1,1,3.23,3.576667,81.58205
50,935257,251013,12.8479,16.06571,14653,1.751638,3,4,1,0,4.64,3.016667,76.31715
51,1027035,237344,3.417343,7.096509,3126,2.447474,2,4,1,1,3.66,3.15,60.52612
52,1073008,169201,24.11856,3.416838,14859,6.585143,3,3,1,1,3.83,3.833333,94.7351
53,1355684,365018,57.24049,8.246407,6909,3.156869,2,2,1,1,3.63,3.683333,94.7351
54,811190,159792,6.670391,3.876797,3747,3.756011,3,2,1,1,3.08,3.933333,65.78734
55,925744,147672,6.670391,18.3655,10532,6.389294,4,3,1,1,3.49,3.477778,76.31346
56,916197,189235,4.797424,2.726899,13740,4.597269,2,3,1,0,3.1,3.8,64.35046
57,699306,122180,24.34857,2.956879,3642,2.973376,3,2,1,1,3.35,2.956667,84.21266
58,989760,227601,4.56741,4.106776,8477,3.993874,4,2,1,1,2.93,3.05,57.89552
59,1334898,303069,13.30792,13.76591,6231,3.301353,3,3,1,1,3.22,3.233333,100
60,1433624,356071,33.51625,6.406571,8845,2.719548,3,4,1,1,3.37,3.344445,57.89552
61,716589,177046,21.81842,13.30595,3014,3.263994,3,1,1,1,3.07,3.126667,73.68654
62,942915,202641,12.15786,6.86653,9820,4.20145,3,4,1,0,3.08,3.3,61.40299
63,1045264,239036,8.247626,6.86653,7581,4.13658,3,3,1,1,3.38,3.666667,100
64,969509,221157,0,0.8870637,17110,2.378613,4,3,1,1,3.28,3.311111,79.47388
65,1349972,301641,150.2317,23.42505,1075,3.21896,3,1,1,1,3.73,3.44,63.15673
66,879581,146058,115.2039,3.876797,1046,6.56979,2,3,1,1,4.03,3.673333,80.26675
67,1228052,362067,5.257451,3.416838,11552,3.583143,3,3,1,1,3.37,4.15,97.36939
68,1018195,236339,17.44816,2.26694,9018,3.50481,4,2,1,1,2.83,3,81.31677
69,1574290,375393,44.12973,26.75975,5050,3.949484,3,3,1,1,3.56,3.94,92.89294
70,1207204,254203,14.91802,3.876797,19809,3.122484,3,4,1,0,3.24,3.538889,78.94407
71,977566,198529,43.89972,38.37372,3265,3.856324,2,1,1,1,3.88,3.466667,79.94253
72,848140,196772,126.4745,27.44969,3151,3.680586,2,1,1,1,3.73,3.416667,73.68654
73,1115450,279193,41.13955,6.406571,6276,4.180132,4,3,1,1,3.2,4.083333,85.9664
74,1782957,518998,171.0972,29.51951,10913,2.31985,3,4,1,0,3.5,4.405556,94.73878
75,1321870,296826,2.267276,8.706366,8966,1.886111,4,4,0,1,3.57,3.344445,89.47388
